Categoria;Fase;Data;Horario;Mesa;Atleta_1;Placar_Atleta_1;Atleta_2;Placar_Atleta_2;Placar_Geral;Sets_Parciais
ABSOLUTO G MAS;Grupo 10;22/08/2026;09:45;MESA 11;IAN JUNIOR;3;DAVI MARCARINI;0;3-0;(11-5)(11-6)(11-2)
ABSOLUTO G MAS;Grupo 04;22/08/2026;11:00;MESA 4;EDGAR JUNIOR;3;FELIPE RIBEIRO;2;3-2;(12-10)(9-11)(12-14)(11-8)(11-9)
ABSOLUTO G MAS;Grupo 10;22/08/2026;11:00;MESA 10;MATHEUS SILVEIRA;0;IAN JUNIOR;3;0-3;(1-11)(7-11)(5-11)
ABSOLUTO G MAS;1/32 de Final;22/08/2026;12:15;MESA 2;VITOR BARRATELLA;0;JOÃO TRZASKOS;3;0-3;(5-11)(5-11)(7-11)
ABSOLUTO G MAS;1/32 de Final;22/08/2026;12:15;MESA 5;HELENO AMARAL;1;FABIO MIURA;3;1-3;(5-11)(11-7)(7-11)(1-11)
ABSOLUTO G MAS;1/32 de Final;22/08/2026;12:15;MESA 14;ERIC TAKESHITA;1;EDGAR JUNIOR;3;1-3;(11-8)(9-11)(13-15)(12-14)
ABSOLUTO G MAS;1/32 de Final;22/08/2026;12:15;MESA 19;JACSSON NASCIMENTO;1;IAN JUNIOR;3;1-3;(9-11)(13-11)(8-11)(9-11)
ABSOLUTO G MAS;Oitavas de Final;22/08/2026;14:20;MESA 10;FELIPE DAMASCENO;3;EDGAR JUNIOR;2;3-2;(11-7)(9-11)(11-4)(8-11)(11-6)
ABSOLUTO G MAS;Oitavas de Final;22/08/2026;14:20;MESA 14;NICOLAS FARIA;3;IAN JUNIOR;2;3-2;(5-11)(7-11)(11-8)(11-5)(11-9)
MASTER 60MAS;Grupo 02;22/08/2026;13:55;MESA 14;CLAUDIO IURCK;3;DOMINGO FERNANDEZ;0;3-0;(11-5)(11-5)(11-6)
MASTER 60MAS;Grupo 03;22/08/2026;13:55;MESA 16;BENJAMIM TAKATSUKI;3;MARCIO WATANABE;0;3-0;(12-10)(11-5)(11-6)
MASTER 60MAS;Grupo 02;22/08/2026;15:10;MESA 13;OLIDES JÚNIOR;3;DOMINGO FERNANDEZ;0;3-0;(11-7)(11-6)(11-5)
MASTER 60MAS;Grupo 03;22/08/2026;15:10;MESA 15;SÍLVIO ALBUQUERQUE;3;MARCIO WATANABE;0;3-0;(11-6)(11-7)(11-4)
MASTER 60MAS;Grupo 02;22/08/2026;16:25;MESA 14;DOMINGO FERNANDEZ;;WALTER JUNIOR;;Agendado;-
MASTER 60MAS;Grupo 03;22/08/2026;16:25;MESA 16;MARCIO WATANABE;;JOSÉ DEZIE;;Agendado;-
SUB-09 MAS;Grupo 03;22/08/2026;13:30;MESA 19;MARTIM AMARAL;3;DANIEL MELO;0;3-0;(11-1)(12-10)(11-5)
SUB-09 MAS;Grupo 04;22/08/2026;13:30;MESA 21;HEITOR MELLO;3;MIGUEL SOUZA;0;3-0;(11-4)(11-7)(11-2)
SUB-09 MAS;Grupo 01;22/08/2026;14:45;MESA 17;JOAQUIM MANTOVANI;3;JOAQUIM PRADO;1;3-1;(8-11)(14-12)(11-8)(11-9)
SUB-09 MAS;Grupo 02;22/08/2026;14:45;MESA 18;ÍTALO RAMIREZ;3;ARTHUR LIMA;0;3-0;(11-4)(11-1)(11-4)
SUB-09 MAS;Grupo 04;22/08/2026;14:45;MESA 21;HEITOR MELLO;3;MATIAS BARBOSA;0;3-0;(11-2)(11-2)(11-1)
SUB-09 MAS;Grupo 01;22/08/2026;16:00;MESA 17;GABRIEL NARDI;;JOAQUIM MANTOVANI;;Agendado;-
SUB-09 MAS;Grupo 02;22/08/2026;16:00;MESA 18;ALEXANDRE GLIZT;;ÍTALO RAMIREZ;;Agendado;-
SUB-09 MAS;Grupo 03;22/08/2026;16:00;MESA 19;MARTIM AMARAL;;HENRIQUE ITO;;Agendado;-
SUB-09 MAS;Grupo 04;22/08/2026;16:00;MESA 21;CRISTOFFER VIEIRA;;HEITOR MELLO;;Agendado;-
SUB-11 FEM;Grupo 02;23/08/2026;08:50;MESA 22;LAURA OLIVEIRA;;SARAH ABADIE;;Agendado;-
SUB-11 FEM;Grupo 02;23/08/2026;09:40;MESA 22;MELISSA JERONIMO;;SARAH ABADIE;;Agendado;-
SUB-11 FEM;Grupo 02;23/08/2026;10:55;MESA 22;SARAH ABADIE;;JASMIM BLANCO;;Agendado;-
SUB-11 MAS;Grupo 06;23/08/2026;08:00;MESA 14;SAMUEL MATSUMOTO;;JOAQUIM MANTOVANI;;Agendado;-
SUB-11 MAS;Grupo 03;23/08/2026;08:00;MESA 18;BENJAMIN HORST;;ÍTALO RAMIREZ;;Agendado;-
SUB-11 MAS;Grupo 05;23/08/2026;08:00;MESA 20;THEO MACHADO;;HEITOR MELLO;;Agendado;-
SUB-11 MAS;Grupo 01;23/08/2026;08:50;MESA 16;MARTIM AMARAL;;BERNARDO COSTA;;Agendado;-
SUB-11 MAS;Grupo 03;23/08/2026;08:50;MESA 18;MOHAMMAD KORYANI;;ÍTALO RAMIREZ;;Agendado;-
SUB-11 MAS;Grupo 05;23/08/2026;08:50;MESA 20;GABRIEL NARDI;;HEITOR MELLO;;Agendado;-
SUB-11 MAS;Grupo 06;23/08/2026;09:15;MESA 14;HENRIQUE ITO;;JOAQUIM MANTOVANI;;Agendado;-
SUB-11 MAS;Grupo 06;23/08/2026;09:40;MESA 14;DAVI MELO;;JOAQUIM MANTOVANI;;Agendado;-
SUB-11 MAS;Grupo 01;23/08/2026;09:40;MESA 16;BRIAN MUZER;;MARTIM AMARAL;;Agendado;-
SUB-13 FEM;Grupo 01;22/08/2026;13:30;MESA 13;NIVIN ABDALLAH;3;MARIANA CAMARGO;0;3-0;(11-2)(11-8)(11-3)
SUB-13 FEM;Grupo 01;22/08/2026;16:00;MESA 13;NIVIN ABDALLAH;;MANUELA DOI;;Agendado;-
SUB-13 MAS;Grupo 08;22/08/2026;10:10;MESA 8;MANSUR JOMAA;3;RENATO FILHO;0;3-0;(11-5)(11-5)(11-0)
SUB-13 MAS;Grupo 08;22/08/2026;11:25;MESA 8;ARTHUR KADLUBISKI;3;MANSUR JOMAA;2;3-2;(6-11)(11-4)(11-7)(8-11)(11-7)
SUB-13 MAS;Oitavas de Final;22/08/2026;15:35;MESA 3;HENRIQUE KUMAGAI;;MANSUR JOMAA;;Agendado;-
SUB-15 FEM;Grupo 01;23/08/2026;08:00;MESA 6;YASMIN SÁ;;ELOAH PRADO;;Agendado;-
SUB-15 FEM;Grupo 03;23/08/2026;08:00;MESA 8;NIVIN ABDALLAH;;ANA MARQUES;;Agendado;-
SUB-15 FEM;Grupo 02;23/08/2026;08:25;MESA 7;NIHAN ABDALLAH;;ANA BRAGA;;Agendado;-
SUB-15 FEM;Grupo 03;23/08/2026;08:50;MESA 8;NIVIN ABDALLAH;;LIVIA DUTKO;;Agendado;-
SUB-15 FEM;Grupo 02;23/08/2026;09:15;MESA 7;NIHAN ABDALLAH;;JULIA DA SILVA;;Agendado;-
SUB-15 FEM;Grupo 01;23/08/2026;09:40;MESA 6;YASMIN SÁ;;ISABELLY RIOS;;Agendado;-
SUB-15 FEM;Grupo 02;23/08/2026;09:40;MESA 7;BIANCA SANTOS;;NIHAN ABDALLAH;;Agendado;-
SUB-15 FEM;Grupo 03;23/08/2026;09:40;MESA 8;NIVIN ABDALLAH;;LAURA SILVEIRA;;Agendado;-
SUB-17 FEM;Grupo 02;22/08/2026;08:30;MESA 22;YASMIN SÁ;3;ANA BRAGA;0;3-0;(11-5)(11-8)(11-5)
SUB-17 FEM;Grupo 01;22/08/2026;09:45;MESA 21;NIHAN ABDALLAH;3;ISABELA HAAB;0;3-0;(11-4)(11-5)(11-4)
SUB-17 FEM;Grupo 01;22/08/2026;11:00;MESA 21;EMANUELLY SANTOS;3;NIHAN ABDALLAH;0;3-0;(11-6)(11-5)(14-12)
SUB-17 FEM;Grupo 02;22/08/2026;11:00;MESA 22;YASMIN SÁ;3;ELOAH PRADO;0;3-0;(11-8)(11-9)(11-8)
SUB-17 FEM;Quartas de Final;22/08/2026;16:50;MESA 24;YASMIN SÁ;;NIHAN ABDALLAH;;Agendado;-
SUB-17 MAS;Grupo 04;22/08/2026;09:20;MESA 20;CAUÃ KNACK;3;OTÁVIO IENERICH;0;3-0;(11-7)(11-5)(11-5)
SUB-17 MAS;Grupo 03;22/08/2026;10:35;MESA 19;RICCARDO MACIEL;2;CAUÃ MATHEUS;3;2-3;(11-4)(13-11)(8-11)(8-11)(7-11)
SUB-17 MAS;Grupo 03;22/08/2026;11:50;MESA 19;MATHEUS JACUMASSO;0;RICCARDO MACIEL;3;0-3;(6-11)(6-11)(6-11)
SUB-17 MAS;Grupo 04;22/08/2026;11:50;MESA 20;CAUÃ KNACK;3;GUSTAVO KANASHIRO;1;3-1;(11-8)(11-7)(9-11)(11-0)
SUB-17 MAS;Quartas de Final;22/08/2026;17:40;MESA 22;V26;;CAUÃ KNACK;;Agendado;-
SUB-17 MAS;Quartas de Final;22/08/2026;17:40;MESA 23;RICCARDO MACIEL;;MATHEUS LESME;;Agendado;-
SUB-19 MAS;Grupo 04;23/08/2026;08:25;MESA 19;FABRICIO MARIN;;OMAR ABDALLAH;;Agendado;-
SUB-19 MAS;Grupo 01;23/08/2026;09:15;MESA 16;ANTHONY ACOSTA;;GUSTAVO KANASHIRO;;Agendado;-
SUB-19 MAS;Grupo 04;23/08/2026;09:15;MESA 19;ARTHUR PIGNATTI;;OMAR ABDALLAH;;Agendado;-
SUB-19 MAS;Grupo 05;23/08/2026;09:15;MESA 20;CAUÃ KNACK;;OTÁVIO IENERICH;;Agendado;-
SUB-19 MAS;Grupo 01;23/08/2026;10:05;MESA 16;FELIPE LARA;;ANTHONY ACOSTA;;Agendado;-
SUB-19 MAS;Grupo 05;23/08/2026;10:05;MESA 20;MATHEUS LESME;;CAUÃ KNACK;;Agendado;-
